ANNEE,REALISE_TOTAL_FRAIS,REALISE_TOTAL_GEL,REALISE_TOTAL_FFL,month_period,dernier_jour_ferie,prochain_jour_ferie,NETTO,GEL,no_dlc,no_code,AFG, 46-001,comp,OPE,INTER, 47-001,PUB,SEC,AFS, 41/52-001,FRAIS,TD,AFF, 43/45/67-001,MEA, 48-001,DLC Longue,TA, 43-002,DLC Courte, 49-004, 49-001, 43-007, 49-007, 49-002,REA, 40-001/41-018, 10-016/40-012/41-006, 41-011/43-019,weekday_sin,weekday_cos,monthday_sin,monthday_cos,mois_sin,mois_cos,semaine_sin,semaine_cos,Temp moy Auvergne,Temp moy Bourgogne,Sem Juin,Sem aout,Sem dec,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances_Ascen,nom_vacances_halloween,nom_vacances_spring,nom_vacances_summer,nom_vacances_winter,nom_vacances_xmas,to_holydays_a,to_holydays_b,to_holydays_c,from_holydays_a,from_holydays_b,from_holydays_c
1,116819.0,13291.0,15992.0,1,-61,33,22,34,102,33,13,5,48,38,40,8,14,41,20,14,38,22,29,14,24,6,12,7,2,10,5,3,2,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,0.5712682150947923,0.8207634412072763,1.0,6.123233995736766e-17,0.8951632913550623,0.4457383557765383,6.9433333333333325,6.721666666666667,0,0,0,0,1,0,0,0,0,0,1,0,38,0,45,10,0,3
1,122311.0,11110.0,21352.0,1,-62,32,22,34,102,33,13,5,48,38,40,8,14,41,20,14,38,22,29,14,24,6,12,7,2,10,5,3,2,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,0.72479278722912,0.6889669190756866,1.0,6.123233995736766e-17,0.8951632913550623,0.4457383557765383,7.461666666666667,7.053333333333334,0,0,0,0,1,0,0,0,0,0,1,0,37,0,44,11,0,4
1,110901.0,11062.0,23978.0,1,-63,31,22,34,102,33,13,5,48,38,40,8,14,41,20,14,38,22,29,14,24,6,12,7,2,10,5,3,2,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624,1.0,6.123233995736766e-17,0.8951632913550623,0.4457383557765383,7.451666666666665,7.158333333333334,0,0,0,0,1,0,0,0,0,0,1,0,36,0,43,12,0,5
1,92357.0,5066.0,16250.0,0,-64,30,22,34,102,33,13,5,48,38,40,8,14,41,20,14,38,22,29,14,24,6,12,7,2,10,5,3,2,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203,1.0,6.123233995736766e-17,0.8951632913550623,0.4457383557765383,7.006666666666667,6.403333333333333,0,0,0,0,1,0,0,0,0,0,1,0,35,0,42,13,0,6
1,96173.0,13125.0,18301.0,0,-66,28,22,34,98,33,13,5,47,36,38,8,13,39,20,14,36,20,27,12,24,6,12,7,2,10,5,3,2,2,1,0,0,0,0,0.0,1.0,0.9987165071710528,-0.0506491688387126,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,6.185,6.355,0,0,0,0,0,0,0,0,0,0,0,0,33,47,40,15,1,8
1,107906.0,11574.0,14952.0,0,-67,27,22,34,108,37,13,5,49,41,43,8,16,44,24,18,42,20,28,12,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.9680771188662044,-0.2506525322587204,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,7.321666666666665,7.678333333333335,0,0,0,0,0,0,0,0,0,0,0,0,32,46,39,16,2,9
1,105208.0,11327.0,14244.0,0,-68,26,22,34,108,37,13,5,49,41,43,8,16,44,24,18,42,20,28,12,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,0.8978045395707416,-0.4403941515576344,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,8.883333333333333,9.351666666666668,0,0,0,0,0,0,0,0,0,0,0,0,31,45,38,17,3,10
1,106657.0,9770.0,21226.0,0,-69,25,22,34,108,37,13,5,49,41,43,8,16,44,24,18,42,20,28,12,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,0.7907757369376989,-0.6121059825476626,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,10.001666666666669,9.683333333333334,0,0,0,0,0,0,0,0,0,0,0,0,30,44,37,18,4,11
1,94988.0,9931.0,24301.0,0,-70,24,22,34,108,37,13,5,49,41,43,8,16,44,24,18,42,20,28,12,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,8.411666666666667,8.805,0,0,0,0,0,0,0,0,0,0,0,0,29,43,36,19,5,12
1,76792.0,4259.0,17122.0,0,-71,23,22,34,108,37,13,5,49,41,43,8,16,44,24,18,42,20,28,12,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.485301962531081,-0.8743466161445821,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,7.776666666666667,7.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,28,42,35,20,6,13
